Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","PinSocket_1x02_P2.54mm_Vertical",211.680000,-131.210000,180.000000,top
"C1","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",226.770000,-131.022500,90.000000,top
"C2","100uF","CP_Radial_D6.3mm_P2.50mm",225.970000,-124.500000,180.000000,top
"C3","1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",256.167500,-122.410000,180.000000,top
"C4","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",277.950000,-133.480000,0.000000,top
"C5","100nF","C_0603_1608Metric",284.697500,-133.599000,180.000000,top
"C6","47µF","C_1206_3216Metric",283.862500,-131.479000,180.000000,top
"C9","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",222.990000,-131.030000,-90.000000,top
"C10","10uF(Tantalum)","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",248.615000,-131.367500,-90.000000,top
"C11","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",220.697500,-75.060000,0.000000,top
"C12","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",220.697500,-72.370000,0.000000,top
"C13","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",251.555000,-131.367500,-90.000000,top
